year,avgTemp,minTemp,maxTemp,rainFall,avgPrice
20100101,-4.9,-11,0.9,0,32100
20100102,-3.1,-5.5,5.5,0.8,32100
20100103,-2.9,-6.9,1.4,0,32100
20100104,-1.8,-5.1,2.2,5.9,32100
20100105,-5.2,-8.7,-1.8,0.7,32100
20100106,-7.3,-11.4,-2.5,0.3,32100
20100107,-6.7,-11.2,-1.2,0,32100
20100108,-5.6,-11.4,1.4,0,32100
20100109,-3.1,-8.8,1.8,0.1,32100
20100110,-1.3,-5,2.8,0,32100
20100111,-1.5,-5.1,2.1,0,32100
20100112,-5,-8.2,-1.7,0.4,32100
20100113,-8.3,-11.4,-4.6,0.7,32100
20100114,-6.4,-12.7,0,0.1,32100
20100115,-2.6,-7.9,3.9,0.1,32100
20100116,-4.1,-9.9,2.9,0,32100
20100117,-3.1,-9.8,4.9,0,32100
20100118,-0.4,-7.1,7.7,0,32100
20100119,3.6,-4.6,11,0.3,32100
20100120,8,4.9,11.3,10.8,33167
20100121,1.3,-3.6,7.9,3.1,33250
20100122,-3.1,-5.7,0.8,0,33250
20100123,-2.7,-6.6,2,0.1,33250
20100124,0.4,-5.5,5.8,0,33250
20100125,0.8,-4.3,5.4,0,33250
20100126,-2.3,-7.7,4.3,0,33250
20100127,1.3,-5.9,7.4,6.5,33250
20100128,3.5,-0.7,7.4,0.1,33250
20100129,0.2,-4.3,5,0,33250
20100130,1.9,-3.3,7.5,0,33250
20100131,3,-1.3,9.4,0,33250
20100201,2.2,-1,6.8,0.2,33250
20100202,-2,-5.5,1.8,0,33250
20100203,-4.9,-8.6,-0.3,0,33250
20100204,-2.9,-8.4,2.2,0.1,33250
20100205,-1.8,-5.9,3,0,33250
20100206,-2.6,-8.5,4.7,0,33250
20100207,1.2,-8.3,8.6,0.1,33250
20100208,4.9,2.8,7.3,2.7,33250
20100209,5.6,3.6,7.8,6.9,33250
20100210,5.1,4,6.5,9,34000
20100211,2.4,0.7,5.2,17.3,34000
20100212,0.7,-0.6,2.7,3.1,34000
20100213,-0.7,-3.3,2.2,1.9,34000
20100214,-1.2,-4.9,2.5,0,34000
20100215,-0.5,-4.4,5,0.1,34000
20100216,-1.6,-5,3.2,0.6,34000
20100217,-1.2,-6.1,3.6,0.4,34000
20100218,-1.1,-4.8,2.4,0.5,34200
20100219,-0.6,-6.1,5.4,0.1,34200
20100220,2.2,-4.2,9.7,0,34200
20100221,3.7,-3.4,11.6,0,34200
20100222,5.2,-0.8,12.8,0,34200
20100223,6.4,-1.2,16.4,0,34200
20100224,11.2,1.2,18.9,0,34200
20100225,13.4,10.3,16.4,33.4,34200
20100226,9.4,6,13.5,4.1,34200
20100227,6.3,3.8,9.2,1.5,34200
20100228,7.1,3,12.6,0.1,34600
20100301,5.4,3.4,8,15.6,34600
20100302,4.2,1.8,6.9,0.3,34600
20100303,5.2,-0.4,10.5,0,34600
20100304,5.9,4.4,7.2,3.9,34600
20100305,6.9,5,9.4,3.8,31100
20100306,5.5,3.1,8.1,3.3,31100
20100307,4.2,2.3,7,0.9,31100
20100308,3.8,0.1,7.6,0.9,31100
20100309,2.3,-0.8,5.8,5.7,31100
20100310,-0.3,-2.9,2.6,3.9,31100
20100311,3,-2.8,8.4,0,31100
20100312,8.3,1.7,14.5,0,31100
20100313,6.1,1.6,12.5,0,31100
20100314,8,1,12.9,1.1,31100
20100315,9.4,4.5,14.4,16.5,31100
